# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1580         1 0.18334 0.18400 39.64110  0.13430  0.00000  0.01847
SN: 15807        1 0.20843 0.20935 40.98092 26.14600  0.00000  0.02881
SN: 15814        1 0.37029 0.37121 41.50029  0.15050  0.00000  0.05452
SN: 15829        1 0.24778 0.24889 40.92405  0.24070  0.00000  0.03049
SN: 15850        1 0.24973 0.25093 40.55914  0.12030  0.00000  0.01185
SN: 15866        1 0.18883 0.19004 39.89903  0.19270  0.00000  0.01531
SN: 15868        1 0.25007 0.25085 40.49394  0.11400  0.00000  0.03714
SN: 15872        1 0.20568 0.20649 39.87861  0.14730  0.00000  0.01628
SN: 15892        1 0.18301 0.18412 39.61632  0.21830  0.00000  0.07145
SN: 15897        1 0.17382 0.17494 39.62933  0.15610  0.00000  0.02902
SN: 15901        1 0.20396 0.20485 39.98925  0.14720  0.00000  0.01315
SN: 15928        1 0.19102 0.19218 40.67009 161.60620  0.00000  0.03823
SN: 15941        1 0.32484 0.32602 41.07078  0.16860  0.00000  0.05768
SN: 15998        1 0.33993 0.34096 41.35620  0.14880  0.00000  0.06140
SN: 16021        1 0.12352 0.12463 38.71185  0.15810  0.00000  0.02057
SN: 16032        1 0.20332 0.20400 39.94341  0.14320  0.00000  0.01307
SN: 16054        1 0.31025 0.31146 41.21367  0.35860  0.00000  0.04854
SN: 16069        1 0.12755 0.12877 38.81261  0.20640  0.00000  0.06006
SN: 16072        1 0.28471 0.28589 40.76935  0.14350  0.00000  0.02443
SN: 16073        1 0.15359 0.15474 39.40652  0.18500  0.00000  0.02044
SN: 16091        1 0.30002 0.30060 40.96568  0.17220  0.00000  0.02924
SN: 16093        1 0.33482 0.33605 41.25033  0.14710  0.00000  0.03348
SN: 16099        1 0.19610 0.19706 39.94453  0.15470  0.00000  0.02863
SN: 16100        1 0.19410 0.19500 39.84360  0.20840  0.00000  0.03123
SN: 16103        1 0.20140 0.20240 39.87572  0.15150  0.00000  0.02551
SN: 16105        1 0.13856 0.13964 39.56423 199.26740  0.00000  0.03533
SN: 16106        1 0.25002 0.25120 40.45532  0.13780  0.00000  0.03138
SN: 16116        1 0.15529 0.15650 39.38062  0.14470  0.00000  0.02232
SN: 16152        1 0.27136 0.27200 40.65407  0.17020  0.00000  0.02968
SN: 16165        1 0.15610 0.15700 39.32993  0.16170  0.00000  0.02040
SN: 16185        1 0.10031 0.10139 38.25617  0.25190  0.00000  0.08154
SN: 16199        1 0.28122 0.28241 40.65044  0.17350  0.00000  0.05856
SN: 16200        1 0.08932 0.09048 39.48822 13.19100  0.00000  0.05685
SN: 16213        1 0.24885 0.25000 40.47355  0.13960  0.00000  0.01534
SN: 16237        1 0.31219 0.31320 41.07215  0.11950  0.00000  0.05232
SN: 16241        1 0.09637 0.09756 39.04923 275.75760  0.00000  0.08660
SN: 16276        1 0.19196 0.19300 39.84390  0.17880  0.00000  0.01566
SN: 16281        1 0.18531 0.18653 39.66461  0.15110  0.00000  0.01291
SN: 16287        1 0.10680 0.10744 38.40866  0.13850  0.00000  0.02163
SN: 16298        1 0.28161 0.28279 41.06375  0.23700  0.00000  0.04771
SN: 16302        1 0.23076 0.23194 40.08687  0.13370  0.00000  0.03068
SN: 16350        1 0.23713 0.23825 40.34183  0.14320  0.00000  0.01464
SN: 16393        1 0.31531 0.31645 40.62717  0.14150  0.00000  0.05778
SN: 16405        1 0.27451 0.27573 40.46012  0.16810  0.00000  0.03501
SN: 16408        1 0.26568 0.26670 41.10958  0.25370  0.00000  0.03166
SN: 16412        1 0.09679 0.09798 40.50357 216.68270  0.00000  0.03546
SN: 16462        1 0.24354 0.24461 40.24257  0.16400  0.00000  0.03124
SN: 16466        1 0.18655 0.18762 40.45787  0.92540  0.00000  0.02356
SN: 16467        1 0.22003 0.22119 40.10036  0.17780  0.00000  0.03517
SN: 16472        1 0.30900 0.31001 41.01567  0.15700  0.00000  0.05266
SN: 16578        1 0.17379 0.17470 39.29210  0.28460  0.00000  0.05240
SN: 1658         1 0.27609 0.27730 40.89265  0.17470  0.00000  0.02255
SN: 16606        1 0.22454 0.22576 40.43847  0.27900  0.00000  0.06070
SN: 16618        1 0.19211 0.19313 39.75609  0.15910  0.00000  0.02286
SN: 16668        1 0.15105 0.15180 39.51679  0.34610  0.00000  0.02117
SN: 16739        1 0.26459 0.26569 40.94886  0.14700  0.00000  0.03011
SN: 17168        1 0.18397 0.18518 39.88405  0.17320  0.00000  0.01712
SN: 17169        1 0.21934 0.22056 40.08957  0.16380  0.00000  0.01779
SN: 17170        1 0.21900 0.22000 40.22368  0.22930  0.00000  0.01313
SN: 17186        1 0.07856 0.07944 37.89909  0.26790  0.00000  0.06268
SN: 17205        1 0.19151 0.19233 39.83515  0.22490  0.00000  0.01782
SN: 17208        1 0.13880 0.14000 39.33580  0.15440  0.00000  0.02023
SN: 17215        1 0.18088 0.18136 39.69313  0.17540  0.00000  0.01755
SN: 17218        1 0.17717 0.17839 39.62549  0.14120  0.00000  0.02964
SN: 17219        1 0.19310 0.19428 39.76109  0.13170  0.00000  0.01046
SN: 17220        1 0.17794 0.17908 39.35882  0.20180  0.00000  0.07053
SN: 17254        1 0.26767 0.26883 39.99472  0.20900  0.00000  0.07068
SN: 17274        1 0.19489 0.19610 39.98772  0.31370  0.00000  0.04618
SN: 17340        1 0.25644 0.25717 40.48675  0.15540  0.00000  0.01862
SN: 17366        1 0.13825 0.13929 39.00838  0.11510  0.00000  0.02646
SN: 17374        1 0.25098 0.25205 40.42449  0.18710  0.00000  0.01257
SN: 17389        1 0.16976 0.17087 39.73571  0.27730  0.00000  0.02190
SN: 1740         1 0.16648 0.16765 39.43729  0.13360  0.00000  0.01501
SN: 17401        1 0.27901 0.28024 40.62029  0.24940  0.00000  0.03036
SN: 17408        1 0.23921 0.24026 40.46178  0.21700  0.00000  0.01201
SN: 17422        1 0.13978 0.14100 40.27495  1.71870  0.00000  0.02007
SN: 17433        1 0.28681 0.28799 40.84057  0.23900  0.00000  0.05005
SN: 17434        1 0.17772 0.17878 39.78315  0.19170  0.00000  0.03911
SN: 17435        1 0.21696 0.21800 40.16168  0.14490  0.00000  0.02504
SN: 1744         1 0.18830 0.18952 40.63141 273.36360  0.00000  0.01478
SN: 17464        1 0.24584 0.24700 40.08626  0.20040  0.00000  0.02993
SN: 17473        1 0.16929 0.17041 40.21328  0.33030  0.00000  0.05152
SN: 17497        1 0.14403 0.14484 39.12257  0.16340  0.00000  0.02105
SN: 1750         1 0.25880 0.26002 40.82480  0.24860  0.00000  0.08736
SN: 17541        1 0.26684 0.26797 40.69918  0.20680  0.00000  0.03476
SN: 17552        1 0.25226 0.25336 40.62264  0.15310  0.00000  0.01958
SN: 17568        1 0.13699 0.13800 39.41956  0.30430  0.00000  0.07026
SN: 17627        1 0.06841 0.06960 38.68530 311.40650  0.00000  0.10552
SN: 17629        1 0.13591 0.13682 38.88257  0.17570  0.00000  0.03425
SN: 17647        1 0.27376 0.27461 40.69310  0.14600  0.00000  0.03782
SN: 17746        1 0.15582 0.15700 40.09118  0.99860  0.00000  0.02943
SN: 17748        1 0.17846 0.17960 39.88978  0.28020  0.00000  0.03636
SN: 1775         1 0.30281 0.30388 41.35642  0.24410  0.00000  0.03920
SN: 17790        1 0.17717 0.17800 40.26209  0.22480  0.00000  0.05285
SN: 17791        1 0.27782 0.27900 41.23877  0.22770  0.00000  0.03363
SN: 17800        1 0.21601 0.21700 40.25418  0.32070  0.00000  0.10550
SN: 17801        1 0.20536 0.20640 40.22244  0.19870  0.00000  0.01552
SN: 17809        1 0.28780 0.28896 40.74413  0.16370  0.00000  0.03548
SN: 17811        1 0.19889 0.20000 39.91920  0.15400  0.00000  0.02216
SN: 17820        1 0.33948 0.34056 41.15636  0.13600  0.00000  0.03949
SN: 17825        1 0.16013 0.16100 39.41873  0.14950  0.00000  0.01621
SN: 17875        1 0.23134 0.23237 40.41781  0.14040  0.00000  0.02172
SN: 17880        1 0.07200 0.07267 37.50092  0.18860  0.00000  0.06728
SN: 17882        1 0.20052 0.20162 40.03864  0.16350  0.00000  0.01450
SN: 17884        1 0.23805 0.23900 40.28289  0.14410  0.00000  0.02036
SN: 17899        1 0.28760 0.28882 40.65697  0.19200  0.00000  0.03599
SN: 17928        1 0.19620 0.19741 39.73117  0.21830  0.00000  0.07820
SN: 1794         1 0.14171 0.14277 39.22722  0.21070  0.00000  0.01971
SN: 17949        1 0.26323 0.26416 40.65996  0.21850  0.00000  0.08396
SN: 17958        1 0.27513 0.27597 40.94923  0.18300  0.00000  0.02271
SN: 17973        1 0.14675 0.14797 38.98333  0.12160  0.00000  0.03050
SN: 18030        1 0.15533 0.15650 39.40622  0.19700  0.00000  0.02541
SN: 18049        1 0.28745 0.28862 40.85341  0.18710  0.00000  0.02125
SN: 18083        1 0.28853 0.28934 40.74986  0.23550  0.00000  0.08115
SN: 18189        1 0.28509 0.28588 40.84663  0.23740  0.00000  0.07926
SN: 18201        1 0.29241 0.29303 40.87365  0.18500  0.00000  0.02948
SN: 18221        1 0.29271 0.29394 40.70767  0.21390  0.00000  0.20547
SN: 18241        1 0.09400 0.09500 38.34174  0.14220  0.00000  0.02101
SN: 18253        1 0.27942 0.28064 40.82040  0.23710  0.00000  0.08944
SN: 18273        1 0.31503 0.31622 41.23443  0.20070  0.00000  0.07916
SN: 18276        1 0.28335 0.28457 40.69134  0.20090  0.00000  0.06797
SN: 18283        1 0.29835 0.29911 40.93939  0.19600  0.00000  0.17658
SN: 18304        1 0.25765 0.25884 40.47292  0.22460  0.00000  0.02998
SN: 18323        1 0.15289 0.15408 39.40326  0.15730  0.00000  0.01910
SN: 18324        1 0.26576 0.26692 40.78476  0.21550  0.00000  0.04760
SN: 18325        1 0.25754 0.25869 40.62023  0.13830  0.00000  0.01914
SN: 18333        1 0.25298 0.25403 40.48388  0.25170  0.00000  0.07281
SN: 18339        1 0.34506 0.34595 41.27993  0.14960  0.00000  0.04286
