VARNAMES: CID HOSTGAL_LOGMASS
SN: PSc060284 10.199
SN: PSc060287 8.775
SN: PSc060289 10.675
SN: PSc060304 9.657
SN: PSc060321 10.874
SN: PSc060342 -9
SN: PSc060498 10.761
SN: PSc060520 10.017
SN: PSc060633 9.983
SN: PSc060644 9.212
SN: PSc060678 8.673
SN: PSc060723 8.529
SN: PSc060939 9.415
SN: PSc061025 10.295
SN: PSc061131 10.537
SN: PSc061135 10.586
SN: PSc061139 10.638
SN: PSc061143 6.544
SN: PSc061153 8.7
SN: PSc061190 8.273
SN: PSc061191 9.505
SN: PSc061192 10.224
SN: PSc061195 8.574
SN: PSc061196 9.53
SN: PSc061197 10.596
SN: PSc061198 9.277
SN: PSc061199 7.194
SN: PSc061200 9.916
SN: PSc061201 10.162
SN: PSc061202 10.442
SN: PSc061210 8.329
SN: PSc070003 9.54
SN: PSc070020 9.266
SN: PSc070039 8.022
SN: PSc070048 11.636
SN: PSc070050 10.808
SN: PSc070054 11.365
SN: PSc070055 10.887
SN: PSc070071 11.16
SN: PSc070091 9.919
SN: PSc070096 10.834
SN: PSc070110 10.142
SN: PSc070111 9.85
SN: PSc070116 -9
SN: PSc070136 10.558
SN: PSc070138 10.175
SN: PSc070142 -9
SN: PSc070150 12.248
SN: PSc070151 9.765
SN: PSc070162 10.586
SN: PSc070175 10.938
SN: PSc070178 10.957
SN: PSc070182 7.882
SN: PSc070194 10.921
SN: PSc070200 11.236
SN: PSc070201 9.47
SN: PSc070224 10.804
SN: PSc070232 10.39
SN: PSc070242 6.583
SN: PSc070279 -9
SN: PSc070283 10.981
SN: PSc070291 10.12
SN: PSc070293 11.305
SN: PSc070299 10.667
SN: PSc070302 -9
SN: PSc070322 10.62
SN: PSc070339 10.788
SN: PSc070357 10.451
SN: PSc070359 -9
SN: PSc070361 10.41
SN: PSc070402 10.498
SN: PSc070404 -9
SN: PSc070429 10.101
SN: PSc070450 10.233
SN: PSc070459 11.369
SN: PSc070470 9.053
SN: PSc070472 10.717
SN: PSc070488 9.241
SN: PSc070510 -9
SN: PSc070515 9.065
SN: PSc070516 9.568
SN: PSc070529 10.399
SN: PSc070530 11.065
SN: PSc070557 10.03
SN: PSc070567 11.03
SN: PSc070599 -9
SN: PSc070607 -9
SN: PSc070610 8.905
SN: PSc070611 9.281
SN: PSc070612 11.03
SN: PSc070614 9.884
SN: PSc070615 -9
SN: PSc070620 -9
SN: PSc070622 9.987
SN: PSc070648 9.763
SN: PSc070678 7.143
SN: PSc070714 -9
SN: PSc070719 10.183
SN: PSc070732 -9
SN: PSc070735 9.052
SN: PSc070749 10.474
SN: PSc070763 9.844
SN: PSc070764 -9
