VARNAMES: SALT2c LOGMASS PROB
PDF: -0.470 8.60 0.000
PDF: -0.460 8.60 0.000
PDF: -0.450 8.60 0.000
PDF: -0.440 8.60 0.000
PDF: -0.430 8.60 0.000
PDF: -0.420 8.60 0.000
PDF: -0.410 8.60 0.000
PDF: -0.400 8.60 0.000
PDF: -0.390 8.60 0.000
PDF: -0.380 8.60 0.000
PDF: -0.370 8.60 0.000
PDF: -0.360 8.60 0.000
PDF: -0.350 8.60 0.000
PDF: -0.340 8.60 0.000
PDF: -0.330 8.60 0.000
PDF: -0.320 8.60 0.000
PDF: -0.310 8.60 0.000
PDF: -0.300 8.60 0.000
PDF: -0.290 8.60 0.000
PDF: -0.280 8.60 0.000
PDF: -0.270 8.60 0.000
PDF: -0.260 8.60 0.000
PDF: -0.250 8.60 0.000
PDF: -0.240 8.60 0.000
PDF: -0.230 8.60 0.000
PDF: -0.220 8.60 0.000
PDF: -0.210 8.60 0.000
PDF: -0.200 8.60 0.000
PDF: -0.190 8.60 0.000
PDF: -0.180 8.60 0.000
PDF: -0.170 8.60 0.000
PDF: -0.160 8.60 0.000
PDF: -0.150 8.60 0.000
PDF: -0.140 8.60 0.000
PDF: -0.130 8.60 0.001
PDF: -0.120 8.60 0.003
PDF: -0.110 8.60 0.010
PDF: -0.100 8.60 0.028
PDF: -0.090 8.60 0.071
PDF: -0.080 8.60 0.156
PDF: -0.070 8.60 0.298
PDF: -0.060 8.60 0.495
PDF: -0.050 8.60 0.718
PDF: -0.040 8.60 0.907
PDF: -0.030 8.60 1.000
PDF: -0.020 8.60 0.981
PDF: -0.010 8.60 0.893
PDF: 0.000 8.60 0.757
PDF: 0.010 8.60 0.597
PDF: 0.020 8.60 0.438
PDF: 0.030 8.60 0.299
PDF: 0.040 8.60 0.190
PDF: 0.050 8.60 0.112
PDF: 0.060 8.60 0.062
PDF: 0.070 8.60 0.031
PDF: 0.080 8.60 0.015
PDF: 0.090 8.60 0.007
PDF: 0.100 8.60 0.003
PDF: 0.110 8.60 0.001
PDF: 0.120 8.60 0.000
PDF: 0.130 8.60 0.000
PDF: 0.140 8.60 0.000
PDF: 0.150 8.60 0.000
PDF: 0.160 8.60 0.000
PDF: 0.170 8.60 0.000
PDF: 0.180 8.60 0.000
PDF: 0.190 8.60 0.000
PDF: 0.200 8.60 0.000
PDF: 0.210 8.60 0.000
PDF: 0.220 8.60 0.000
PDF: 0.230 8.60 0.000
PDF: 0.240 8.60 0.000
PDF: 0.250 8.60 0.000
PDF: 0.260 8.60 0.000
PDF: 0.270 8.60 0.000
PDF: 0.280 8.60 0.000
PDF: 0.290 8.60 0.000
PDF: 0.300 8.60 0.000
PDF: 0.310 8.60 0.000
PDF: 0.320 8.60 0.000
PDF: 0.330 8.60 0.000
PDF: 0.340 8.60 0.000
PDF: 0.350 8.60 0.000
PDF: 0.360 8.60 0.000
PDF: 0.370 8.60 0.000
PDF: 0.380 8.60 0.000
PDF: 0.390 8.60 0.000
PDF: 0.400 8.60 0.000
PDF: 0.410 8.60 0.000
PDF: 0.420 8.60 0.000
PDF: 0.430 8.60 0.000
PDF: 0.440 8.60 0.000
PDF: 0.450 8.60 0.000
PDF: 0.460 8.60 0.000
PDF: 0.470 8.60 0.000
PDF: 0.480 8.60 0.000
PDF: 0.490 8.60 0.000
PDF: -0.500 8.80 0.000
PDF: -0.490 8.80 0.000
PDF: -0.480 8.80 0.000
PDF: -0.470 8.80 0.000
PDF: -0.460 8.80 0.000
PDF: -0.450 8.80 0.000
PDF: -0.440 8.80 0.000
PDF: -0.430 8.80 0.000
PDF: -0.420 8.80 0.000
PDF: -0.410 8.80 0.000
PDF: -0.400 8.80 0.000
PDF: -0.390 8.80 0.000
PDF: -0.380 8.80 0.000
PDF: -0.370 8.80 0.000
PDF: -0.360 8.80 0.000
PDF: -0.350 8.80 0.000
PDF: -0.340 8.80 0.000
PDF: -0.330 8.80 0.000
PDF: -0.320 8.80 0.000
PDF: -0.310 8.80 0.000
PDF: -0.300 8.80 0.000
PDF: -0.290 8.80 0.000
PDF: -0.280 8.80 0.000
PDF: -0.270 8.80 0.000
PDF: -0.260 8.80 0.000
PDF: -0.250 8.80 0.000
PDF: -0.240 8.80 0.000
PDF: -0.230 8.80 0.000
PDF: -0.220 8.80 0.000
PDF: -0.210 8.80 0.000
PDF: -0.200 8.80 0.000
PDF: -0.190 8.80 0.000
PDF: -0.180 8.80 0.000
PDF: -0.170 8.80 0.000
PDF: -0.160 8.80 0.000
PDF: -0.150 8.80 0.000
PDF: -0.140 8.80 0.001
PDF: -0.130 8.80 0.004
PDF: -0.120 8.80 0.012
PDF: -0.110 8.80 0.034
PDF: -0.100 8.80 0.080
