VARNAMES: SALT2c LOGMASS PROB
PDF: -0.250 9.20 0.000
PDF: -0.240 9.20 0.001
PDF: -0.230 9.20 0.001
PDF: -0.220 9.20 0.002
PDF: -0.210 9.20 0.004
PDF: -0.200 9.20 0.006
PDF: -0.190 9.20 0.010
PDF: -0.180 9.20 0.016
PDF: -0.170 9.20 0.024
PDF: -0.160 9.20 0.035
PDF: -0.150 9.20 0.051
PDF: -0.140 9.20 0.072
PDF: -0.130 9.20 0.101
PDF: -0.120 9.20 0.136
PDF: -0.110 9.20 0.181
PDF: -0.100 9.20 0.236
PDF: -0.090 9.20 0.300
PDF: -0.080 9.20 0.373
PDF: -0.070 9.20 0.454
PDF: -0.060 9.20 0.540
PDF: -0.050 9.20 0.630
PDF: -0.040 9.20 0.718
PDF: -0.030 9.20 0.802
PDF: -0.020 9.20 0.875
PDF: -0.010 9.20 0.935
PDF: 0.000 9.20 0.978
PDF: 0.010 9.20 1.000
PDF: 0.020 9.20 0.992
PDF: 0.030 9.20 0.898
PDF: 0.040 9.20 0.732
PDF: 0.050 9.20 0.538
PDF: 0.060 9.20 0.356
PDF: 0.070 9.20 0.213
PDF: 0.080 9.20 0.114
PDF: 0.090 9.20 0.055
PDF: 0.100 9.20 0.024
PDF: 0.110 9.20 0.010
PDF: 0.120 9.20 0.003
PDF: 0.130 9.20 0.001
PDF: 0.140 9.20 0.000
PDF: 0.150 9.20 0.000
PDF: 0.160 9.20 0.000
PDF: 0.170 9.20 0.000
PDF: 0.180 9.20 0.000
PDF: 0.190 9.20 0.000
PDF: 0.200 9.20 0.000
PDF: 0.210 9.20 0.000
PDF: 0.220 9.20 0.000
PDF: 0.230 9.20 0.000
PDF: 0.240 9.20 0.000
PDF: 0.250 9.20 0.000
PDF: 0.260 9.20 0.000
PDF: 0.270 9.20 0.000
PDF: 0.280 9.20 0.000
PDF: 0.290 9.20 0.000
PDF: 0.300 9.20 0.000
PDF: 0.310 9.20 0.000
PDF: 0.320 9.20 0.000
PDF: 0.330 9.20 0.000
PDF: 0.340 9.20 0.000
PDF: 0.350 9.20 0.000
PDF: 0.360 9.20 0.000
PDF: 0.370 9.20 0.000
PDF: 0.380 9.20 0.000
PDF: 0.390 9.20 0.000
PDF: 0.400 9.20 0.000
PDF: 0.410 9.20 0.000
PDF: 0.420 9.20 0.000
PDF: 0.430 9.20 0.000
PDF: 0.440 9.20 0.000
PDF: 0.450 9.20 0.000
PDF: 0.460 9.20 0.000
PDF: 0.470 9.20 0.000
PDF: 0.480 9.20 0.000
PDF: 0.490 9.20 0.000
PDF: -0.500 9.40 0.000
PDF: -0.490 9.40 0.000
PDF: -0.480 9.40 0.000
PDF: -0.470 9.40 0.000
PDF: -0.460 9.40 0.000
PDF: -0.450 9.40 0.000
PDF: -0.440 9.40 0.000
PDF: -0.430 9.40 0.000
PDF: -0.420 9.40 0.000
PDF: -0.410 9.40 0.000
PDF: -0.400 9.40 0.000
PDF: -0.390 9.40 0.000
PDF: -0.380 9.40 0.000
PDF: -0.370 9.40 0.000
PDF: -0.360 9.40 0.000
PDF: -0.350 9.40 0.000
PDF: -0.340 9.40 0.000
PDF: -0.330 9.40 0.000
PDF: -0.320 9.40 0.000
PDF: -0.310 9.40 0.000
PDF: -0.300 9.40 0.000
PDF: -0.290 9.40 0.000
PDF: -0.280 9.40 0.000
PDF: -0.270 9.40 0.000
PDF: -0.260 9.40 0.001
PDF: -0.250 9.40 0.001
PDF: -0.240 9.40 0.002
PDF: -0.230 9.40 0.003
PDF: -0.220 9.40 0.005
PDF: -0.210 9.40 0.007
PDF: -0.200 9.40 0.011
PDF: -0.190 9.40 0.017
PDF: -0.180 9.40 0.024
PDF: -0.170 9.40 0.035
PDF: -0.160 9.40 0.050
PDF: -0.150 9.40 0.070
PDF: -0.140 9.40 0.095
PDF: -0.130 9.40 0.127
PDF: -0.120 9.40 0.167
PDF: -0.110 9.40 0.215
PDF: -0.100 9.40 0.272
PDF: -0.090 9.40 0.336
PDF: -0.080 9.40 0.409
PDF: -0.070 9.40 0.488
PDF: -0.060 9.40 0.571
PDF: -0.050 9.40 0.655
PDF: -0.040 9.40 0.737
PDF: -0.030 9.40 0.814
PDF: -0.020 9.40 0.882
PDF: -0.010 9.40 0.937
PDF: 0.000 9.40 0.977
PDF: 0.010 9.40 0.999
PDF: 0.020 9.40 1.000
PDF: 0.030 9.40 0.959
PDF: 0.040 9.40 0.874
PDF: 0.050 9.40 0.758
PDF: 0.060 9.40 0.626
PDF: 0.070 9.40 0.491
PDF: 0.080 9.40 0.367
PDF: 0.090 9.40 0.260
PDF: 0.100 9.40 0.176
PDF: 0.110 9.40 0.113
PDF: 0.120 9.40 0.069
PDF: 0.130 9.40 0.040
PDF: 0.140 9.40 0.022
PDF: 0.150 9.40 0.012
PDF: 0.160 9.40 0.006
PDF: 0.170 9.40 0.003
PDF: 0.180 9.40 0.001
PDF: 0.190 9.40 0.001
PDF: 0.200 9.40 0.000
PDF: 0.210 9.40 0.000
PDF: 0.220 9.40 0.000
PDF: 0.230 9.40 0.000
PDF: 0.240 9.40 0.000
PDF: 0.250 9.40 0.000
PDF: 0.260 9.40 0.000
PDF: 0.270 9.40 0.000
PDF: 0.280 9.40 0.000
PDF: 0.290 9.40 0.000
PDF: 0.300 9.40 0.000
PDF: 0.310 9.40 0.000
PDF: 0.320 9.40 0.000
PDF: 0.330 9.40 0.000
PDF: 0.340 9.40 0.000
PDF: 0.350 9.40 0.000
PDF: 0.360 9.40 0.000
PDF: 0.370 9.40 0.000
PDF: 0.380 9.40 0.000
PDF: 0.390 9.40 0.000
PDF: 0.400 9.40 0.000
PDF: 0.410 9.40 0.000
PDF: 0.420 9.40 0.000
PDF: 0.430 9.40 0.000
PDF: 0.440 9.40 0.000
PDF: 0.450 9.40 0.000
PDF: 0.460 9.40 0.000
PDF: 0.470 9.40 0.000
PDF: 0.480 9.40 0.000
PDF: 0.490 9.40 0.000
PDF: -0.500 9.60 0.000
PDF: -0.490 9.60 0.000
PDF: -0.480 9.60 0.000
PDF: -0.470 9.60 0.000
PDF: -0.460 9.60 0.000
PDF: -0.450 9.60 0.000
PDF: -0.440 9.60 0.000
PDF: -0.430 9.60 0.000
PDF: -0.420 9.60 0.000
PDF: -0.410 9.60 0.000
PDF: -0.400 9.60 0.000
PDF: -0.390 9.60 0.000
PDF: -0.380 9.60 0.000
PDF: -0.370 9.60 0.000
PDF: -0.360 9.60 0.000
PDF: -0.350 9.60 0.000
PDF: -0.340 9.60 0.000
PDF: -0.330 9.60 0.000
PDF: -0.320 9.60 0.000
PDF: -0.310 9.60 0.000
PDF: -0.300 9.60 0.000
PDF: -0.290 9.60 0.000
PDF: -0.280 9.60 0.000
PDF: -0.270 9.60 0.000
PDF: -0.260 9.60 0.000
PDF: -0.250 9.60 0.000
PDF: -0.240 9.60 0.000
PDF: -0.230 9.60 0.000
PDF: -0.220 9.60 0.000
PDF: -0.210 9.60 0.001
PDF: -0.200 9.60 0.001
PDF: -0.190 9.60 0.002
PDF: -0.180 9.60 0.005
PDF: -0.170 9.60 0.009
PDF: -0.160 9.60 0.017
PDF: -0.150 9.60 0.030
PDF: -0.140 9.60 0.051
PDF: -0.130 9.60 0.083
PDF: -0.120 9.60 0.129
PDF: -0.110 9.60 0.192
PDF: -0.100 9.60 0.274
PDF: -0.090 9.60 0.375
PDF: -0.080 9.60 0.490
PDF: -0.070 9.60 0.615
PDF: -0.060 9.60 0.738
PDF: -0.050 9.60 0.849
PDF: -0.040 9.60 0.936
PDF: -0.030 9.60 0.988
PDF: -0.020 9.60 1.000
PDF: -0.010 9.60 0.991
PDF: 0.000 9.60 0.970
PDF: 0.010 9.60 0.937
PDF: 0.020 9.60 0.894
PDF: 0.030 9.60 0.843
PDF: 0.040 9.60 0.785
PDF: 0.050 9.60 0.721
PDF: 0.060 9.60 0.655
PDF: 0.070 9.60 0.587
PDF: 0.080 9.60 0.520
PDF: 0.090 9.60 0.455
PDF: 0.100 9.60 0.393
PDF: 0.110 9.60 0.335
PDF: 0.120 9.60 0.283
PDF: 0.130 9.60 0.235
PDF: 0.140 9.60 0.193
PDF: 0.150 9.60 0.157
PDF: 0.160 9.60 0.126
PDF: 0.170 9.60 0.100
PDF: 0.180 9.60 0.078
PDF: 0.190 9.60 0.060
PDF: 0.200 9.60 0.046
PDF: 0.210 9.60 0.035
PDF: 0.220 9.60 0.026
PDF: 0.230 9.60 0.019
PDF: 0.240 9.60 0.014
PDF: 0.250 9.60 0.010
PDF: 0.260 9.60 0.007
PDF: 0.270 9.60 0.005
PDF: 0.280 9.60 0.003
PDF: 0.290 9.60 0.002
PDF: 0.300 9.60 0.002
PDF: 0.310 9.60 0.001
PDF: 0.320 9.60 0.001
PDF: 0.330 9.60 0.000
PDF: 0.340 9.60 0.000
PDF: 0.350 9.60 0.000
PDF: 0.360 9.60 0.000
PDF: 0.370 9.60 0.000
PDF: 0.380 9.60 0.000
PDF: 0.390 9.60 0.000
PDF: 0.400 9.60 0.000
PDF: 0.410 9.60 0.000
PDF: 0.420 9.60 0.000
PDF: 0.430 9.60 0.000
PDF: 0.440 9.60 0.000
PDF: 0.450 9.60 0.000
PDF: 0.460 9.60 0.000
PDF: 0.470 9.60 0.000
PDF: 0.480 9.60 0.000
PDF: 0.490 9.60 0.000
PDF: -0.500 9.80 0.000
PDF: -0.490 9.80 0.000
PDF: -0.480 9.80 0.000
PDF: -0.470 9.80 0.000
PDF: -0.460 9.80 0.000
PDF: -0.450 9.80 0.000
PDF: -0.440 9.80 0.000
PDF: -0.430 9.80 0.000
PDF: -0.420 9.80 0.000
PDF: -0.410 9.80 0.000
PDF: -0.400 9.80 0.000
PDF: -0.390 9.80 0.000
PDF: -0.380 9.80 0.000
PDF: -0.370 9.80 0.000
PDF: -0.360 9.80 0.000
PDF: -0.350 9.80 0.000
PDF: -0.340 9.80 0.000
PDF: -0.330 9.80 0.000
PDF: -0.320 9.80 0.000
PDF: -0.310 9.80 0.000
PDF: -0.300 9.80 0.000
PDF: -0.290 9.80 0.000
PDF: -0.280 9.80 0.000
PDF: -0.270 9.80 0.000
PDF: -0.260 9.80 0.000
PDF: -0.250 9.80 0.000
PDF: -0.240 9.80 0.000
PDF: -0.230 9.80 0.000
PDF: -0.220 9.80 0.001
PDF: -0.210 9.80 0.001
PDF: -0.200 9.80 0.003
PDF: -0.190 9.80 0.006
PDF: -0.180 9.80 0.010
PDF: -0.170 9.80 0.019
PDF: -0.160 9.80 0.032
PDF: -0.150 9.80 0.053
PDF: -0.140 9.80 0.084
PDF: -0.130 9.80 0.128
PDF: -0.120 9.80 0.188
PDF: -0.110 9.80 0.265
PDF: -0.100 9.80 0.359
PDF: -0.090 9.80 0.468
PDF: -0.080 9.80 0.587
PDF: -0.070 9.80 0.707
PDF: -0.060 9.80 0.818
PDF: -0.050 9.80 0.910
PDF: -0.040 9.80 0.973
PDF: -0.030 9.80 1.000
PDF: -0.020 9.80 0.998
PDF: -0.010 9.80 0.986
PDF: 0.000 9.80 0.967
PDF: 0.010 9.80 0.939
PDF: 0.020 9.80 0.904
PDF: 0.030 9.80 0.863
PDF: 0.040 9.80 0.816
PDF: 0.050 9.80 0.765
PDF: 0.060 9.80 0.711
PDF: 0.070 9.80 0.655
PDF: 0.080 9.80 0.598
PDF: 0.090 9.80 0.541
PDF: 0.100 9.80 0.486
PDF: 0.110 9.80 0.432
PDF: 0.120 9.80 0.381
PDF: 0.130 9.80 0.333
PDF: 0.140 9.80 0.288
PDF: 0.150 9.80 0.247
PDF: 0.160 9.80 0.211
PDF: 0.170 9.80 0.178
PDF: 0.180 9.80 0.148
PDF: 0.190 9.80 0.123
PDF: 0.200 9.80 0.101
PDF: 0.210 9.80 0.082
PDF: 0.220 9.80 0.066
PDF: 0.230 9.80 0.053
PDF: 0.240 9.80 0.042
PDF: 0.250 9.80 0.033
PDF: 0.260 9.80 0.026
PDF: 0.270 9.80 0.020
PDF: 0.280 9.80 0.015
PDF: 0.290 9.80 0.012
PDF: 0.300 9.80 0.009
PDF: 0.310 9.80 0.006
PDF: 0.320 9.80 0.005
PDF: 0.330 9.80 0.004
PDF: 0.340 9.80 0.003
PDF: 0.350 9.80 0.002
PDF: 0.360 9.80 0.001
PDF: 0.370 9.80 0.001
PDF: 0.380 9.80 0.001
PDF: 0.390 9.80 0.000
PDF: 0.400 9.80 0.000
PDF: 0.410 9.80 0.000
PDF: 0.420 9.80 0.000
PDF: 0.430 9.80 0.000
PDF: 0.440 9.80 0.000
PDF: 0.450 9.80 0.000
PDF: 0.460 9.80 0.000
PDF: 0.470 9.80 0.000
PDF: 0.480 9.80 0.000
PDF: 0.490 9.80 0.000
PDF: -0.500 10.00 0.000
PDF: -0.490 10.00 0.000
PDF: -0.480 10.00 0.000
PDF: -0.470 10.00 0.000
PDF: -0.460 10.00 0.000
PDF: -0.450 10.00 0.000
PDF: -0.440 10.00 0.000
PDF: -0.430 10.00 0.000
PDF: -0.420 10.00 0.000
PDF: -0.410 10.00 0.000
PDF: -0.400 10.00 0.000
PDF: -0.390 10.00 0.000
PDF: -0.380 10.00 0.000
PDF: -0.370 10.00 0.000
PDF: -0.360 10.00 0.000
PDF: -0.350 10.00 0.000
PDF: -0.340 10.00 0.000
PDF: -0.330 10.00 0.000
