# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 17875        1 0.23134 0.23237 40.44112  0.13840  0.00000  0.02984
SN: 17880        1 0.07200 0.07267 37.52931  0.18850  0.00000  0.08439
SN: 17882        1 0.20052 0.20162 40.04724  0.16160  0.00000  0.03010
SN: 17884        1 0.23805 0.23900 40.28520  0.14270  0.00000  0.01590
SN: 17899        1 0.28760 0.28882 40.68628  0.19150  0.00000  0.03705
SN: 17928        1 0.19620 0.19741 39.78389  0.21780  0.00000  0.03739
SN: 1794         1 0.14171 0.14277 39.25671  0.21060  0.00000  0.04547
SN: 17949        1 0.26323 0.26416 40.67122  0.21940  0.00000  0.05785
SN: 17958        1 0.27513 0.27597 40.96578  0.18570  0.00000  0.03708
SN: 17973        1 0.14675 0.14797 38.97904  0.11860  0.00000  0.01078
SN: 18030        1 0.15533 0.15650 39.40132  0.19670  0.00000  0.04467
SN: 18049        1 0.28745 0.28862 40.86770  0.19120  0.00000  0.02951
SN: 18083        1 0.28853 0.28934 40.76664  0.23550  0.00000  0.07268
SN: 18189        1 0.28509 0.28588 40.88770  0.23790  0.00000  0.03773
SN: 18201        1 0.29241 0.29303 40.90495  0.18770  0.00000  0.02635
SN: 18221        1 0.29271 0.29394 40.74326  0.21160  0.00000  0.16523
SN: 18241        1 0.09400 0.09500 38.32302  0.13870  0.00000  0.05130
SN: 18253        1 0.27942 0.28064 40.83180  0.23230  0.00000  0.06460
SN: 18273        1 0.31503 0.31622 41.26853  0.20260  0.00000  0.05604
SN: 18276        1 0.28335 0.28457 40.72950  0.20180  0.00000  0.04655
SN: 18283        1 0.29835 0.29911 40.95807  0.19310  0.00000  0.14063
SN: 18304        1 0.25765 0.25884 40.50765  0.21230  0.00000  0.01302
SN: 18323        1 0.15289 0.15408 39.40515  0.15760  0.00000  0.02707
SN: 18324        1 0.26576 0.26692 40.80909  0.21470  0.00000  0.03437
SN: 18325        1 0.25754 0.25869 40.63375  0.13670  0.00000  0.01625
SN: 18333        1 0.25298 0.25403 40.51775  0.24000  0.00000  0.03834
SN: 18339        1 0.34506 0.34595 41.28976  0.15350  0.00000  0.06555
